id;phase;temp_min_c;temp_max_c;humidity_min_percent;humidity_max_percent;co_2_max_ppm;light_lux;fresh_air_exchanges_per_hour;room_id
1;INOCULATION;3733.6;23636.36;30829.73;9435.27;18355;13545;29326;1
2;COMPLETED;11884.65;11716.99;11146.34;29755.81;25727;31168;6052;2
3;HARVEST;13639.68;3854.49;161.63;30156.58;14;7660;19228;3
4;INOCULATION;32491.74;27843.09;13421.12;4523.05;28793;27742;30774;4
5;HARVEST;30821.73;18857.78;13028.86;6110.71;8722;7221;25377;5
6;FRUITING_BODY_GROWTH;29076.74;9777.89;25399.68;25777.78;31166;5200;4530;6
7;REHYDRATION_PAUSE;27461.85;31605.12;16101.76;4514.08;18276;31932;10341;7
8;FULL_COLONIZATION;30344.46;24535.29;21618.21;31883.6;24642;20688;22866;8
9;HARVEST;20233.97;19541.6;20777.74;29680.74;29912;6819;25217;9
10;FULL_COLONIZATION;13291.91;11579.58;31857.06;20182.75;22717;15307;17709;10
