id;year;month;generated_at;total_yield_kg;total_cost;total_revenue;profit_margin_percent;total_contamination_events;total_missing_fields;summary
1;4656;9;2026-02-21T20:09:57;22714.94;3306.21;17109.15;18294.33;31085;7303;../fake-data/blob/hipster.txt
2;10841;8;2026-02-22T13:30:41;10331.55;27230.27;1948.12;29539.52;6438;12858;../fake-data/blob/hipster.txt
3;19152;6;2026-02-21T17:16:28;4552.16;10829.95;3379.51;2032.66;2174;16684;../fake-data/blob/hipster.txt
4;23550;3;2026-02-21T16:44:10;2464.98;31396.58;30808.46;13344.72;2663;18173;../fake-data/blob/hipster.txt
5;24844;10;2026-02-22T10:23:03;16967.68;14152.79;5342.6;31381.94;19852;30150;../fake-data/blob/hipster.txt
6;27146;9;2026-02-21T19:57:37;8898.43;11311.02;2122.73;1890.19;7891;5435;../fake-data/blob/hipster.txt
7;31077;11;2026-02-21T23:07:48;32648.84;848.75;19580.6;28650.53;21605;11477;../fake-data/blob/hipster.txt
8;3995;8;2026-02-22T02:29:34;8455.56;13627.45;11677.39;18915.72;20135;23708;../fake-data/blob/hipster.txt
9;29951;7;2026-02-22T12:54:23;13887.16;3873;25335.23;31031.15;11995;28925;../fake-data/blob/hipster.txt
10;21446;9;2026-02-21T22:09:20;24359.83;27777.88;23821.12;31730.09;4192;4030;../fake-data/blob/hipster.txt
