id;phase;sequence_order;start_date;end_date;planned_duration_days;actual_duration_days;responsible_person;note;batch_id
1;CONSOLIDATION;6756;2026-02-22;2026-02-22;24267;28514;until incidentally offensively;../fake-data/blob/hipster.txt;1
2;REHYDRATION_PAUSE;15540;2026-02-21;2026-02-22;21073;8366;under around favorable;../fake-data/blob/hipster.txt;2
3;FRUITING_TRIGGER;14585;2026-02-22;2026-02-21;18984;14413;offensively puny orange;../fake-data/blob/hipster.txt;3
4;EARLY_COLONIZATION;4638;2026-02-22;2026-02-22;30189;7321;usher drive restfully;../fake-data/blob/hipster.txt;4
5;CONSOLIDATION;5994;2026-02-22;2026-02-22;31136;24974;redesign alienated postbox;../fake-data/blob/hipster.txt;5
6;REHYDRATION_PAUSE;10053;2026-02-22;2026-02-22;25141;2609;as;../fake-data/blob/hipster.txt;6
7;PRIMORDIA;14690;2026-02-22;2026-02-22;18508;8271;personalise;../fake-data/blob/hipster.txt;7
8;REHYDRATION_PAUSE;8535;2026-02-21;2026-02-21;14023;26580;or amid;../fake-data/blob/hipster.txt;8
9;PRIMORDIA;27083;2026-02-22;2026-02-22;1798;11238;pertinent boldly;../fake-data/blob/hipster.txt;9
10;FULL_COLONIZATION;20690;2026-02-22;2026-02-21;20890;19154;provided but;../fake-data/blob/hipster.txt;10
