id;name;version;base_type;composition_detail;sterilization_method;moisture_target_percent;ph_target;supplement_notes;active
1;aw judicious;warlike;CORN_COB;../fake-data/blob/hipster.txt;squiggly;23682.51;27158.72;../fake-data/blob/hipster.txt;true
2;daily gladly;cemetery petty;SPENT_COFFEE_GROUNDS;../fake-data/blob/hipster.txt;disadvantage deep;3976.98;16559.07;../fake-data/blob/hipster.txt;true
3;hydrolyse where;trek;BEECH_SAWDUST;../fake-data/blob/hipster.txt;monthly since;19905.11;30051.07;../fake-data/blob/hipster.txt;true
4;split;zowie;SPENT_COFFEE_GROUNDS;../fake-data/blob/hipster.txt;technician decriminalize abaft;8710.24;16126.58;../fake-data/blob/hipster.txt;true
5;across amid;case;WHEAT_STRAW;../fake-data/blob/hipster.txt;wherever which once;3244.44;25792.61;../fake-data/blob/hipster.txt;false
6;braid;trick;BEECH_SAWDUST;../fake-data/blob/hipster.txt;pantyhose;14775.52;11999.16;../fake-data/blob/hipster.txt;false
7;noxious overcook;until;OAK_SAWDUST;../fake-data/blob/hipster.txt;phew;17967.53;12516.32;../fake-data/blob/hipster.txt;true
8;unconscious fatherly;motor wedge the;BLENDED;../fake-data/blob/hipster.txt;kindheartedly regularly;29527.03;9951.63;../fake-data/blob/hipster.txt;false
9;pro correctly wire;cripple bah;BARLEY_STRAW;../fake-data/blob/hipster.txt;mortally needily;5488.07;10981.68;../fake-data/blob/hipster.txt;true
10;while delightfully;abaft arid redraw;BARLEY_STRAW;../fake-data/blob/hipster.txt;often final uncomfortable;14698.93;32279.06;../fake-data/blob/hipster.txt;true
