id;name;type;contact_person;email;phone;address;rating;active;note
1;minion;SPAWN;kiddingly barge;Adolf_Dach@yahoo.com;768-752-3630 x7954;../fake-data/blob/hipster.txt;4;false;../fake-data/blob/hipster.txt
2;how aha lest;EQUIPMENT;the;Dakota.Lind@hotmail.com;214-286-3299 x339;../fake-data/blob/hipster.txt;1;true;../fake-data/blob/hipster.txt
3;whoa behind after;EQUIPMENT;reassuringly roasted arrange;Sincere.Ondricka@hotmail.com;891.591.8267 x065;../fake-data/blob/hipster.txt;4;false;../fake-data/blob/hipster.txt
4;speedily badly wisely;SPAWN;quarrelsomely;Brad_Homenick@hotmail.com;775.423.2027;../fake-data/blob/hipster.txt;1;true;../fake-data/blob/hipster.txt
5;kindly;SUBSTRATE;meh though zowie;Abbey.Harvey41@hotmail.com;531.594.7701 x204;../fake-data/blob/hipster.txt;3;false;../fake-data/blob/hipster.txt
6;bookend convalesce;EQUIPMENT;atop noteworthy huzzah;Rickie.Kihn@yahoo.com;(747) 359-7881 x7959;../fake-data/blob/hipster.txt;1;false;../fake-data/blob/hipster.txt
7;kiddingly;SPAWN;unscramble gee who;Odessa.Effertz98@yahoo.com;207-632-4836;../fake-data/blob/hipster.txt;5;false;../fake-data/blob/hipster.txt
8;what stack account;CHEMICALS;deeply;Jedidiah.Raynor-Botsford56@yahoo.com;(813) 554-2790;../fake-data/blob/hipster.txt;5;false;../fake-data/blob/hipster.txt
9;not;PACKAGING;delight lox;Carmen97@yahoo.com;997.542.7990 x056;../fake-data/blob/hipster.txt;2;true;../fake-data/blob/hipster.txt
10;after newsprint;SUBSTRATE;mysteriously like hutch;Adalberto_Labadie@gmail.com;(641) 973-9296;../fake-data/blob/hipster.txt;1;false;../fake-data/blob/hipster.txt
