id;line_number;item_description;quantity_ordered;quantity_received;unit;unit_price;line_total;lot_number;expiry_date;quality_on_receipt;is_received;note;supply_order_id;material_id
1;21789;recklessly now save;22291.41;28374.81;PIECE;9340.9;6835.4;frank mmm;2026-02-21;ouch glider blossom;false;../fake-data/blob/hipster.txt;1;1
2;18437;tinted eventually;4903.91;28434.82;GRAM;16885.24;23611.69;last nor upside-down;2026-02-22;suffice;true;../fake-data/blob/hipster.txt;2;2
3;853;that;12220.07;14562.58;KG;8900.25;5689.67;ouch dress carpool;2026-02-22;misguided;false;../fake-data/blob/hipster.txt;3;3
4;17598;though;14092.33;19226.95;LITER;6463.62;31326.35;venture;2026-02-22;busy alb;false;../fake-data/blob/hipster.txt;4;4
5;20811;livid;27487.21;1310.15;KG;23742.25;29069.72;save editor hence;2026-02-21;imaginary;true;../fake-data/blob/hipster.txt;5;5
6;568;when;23768.23;29386.55;PIECE;16454.1;18260.15;shear ponder curl;2026-02-22;until;false;../fake-data/blob/hipster.txt;6;6
7;18814;extremely westernise gadzooks;7694.01;10280.69;BOX;20130.71;18258.73;whether;2026-02-22;mysteriously hoot fatally;true;../fake-data/blob/hipster.txt;7;7
8;15595;whereas even;19307.16;15800.71;GRAM;12126.57;2853.58;trivial;2026-02-22;dividend bootleg event;true;../fake-data/blob/hipster.txt;8;8
9;30712;provided cafe;20597.52;5415.66;PIECE;22020.03;8189.02;untidy too;2026-02-21;daintily complicated carnival;false;../fake-data/blob/hipster.txt;9;9
10;15147;fuel nauseate;8919.86;23322.25;PALLET;24486.43;14401.07;provision haul deduct;2026-02-21;gah within nor;true;../fake-data/blob/hipster.txt;10;10
