id;title;description;due_date;completed;completed_date;priority;assigned_to;note
1;cheap;../fake-data/blob/hipster.txt;2026-02-21;true;2026-02-22;5;poorly fuel giving;../fake-data/blob/hipster.txt
2;continually;../fake-data/blob/hipster.txt;2026-02-21;true;2026-02-21;1;at terribly contrast;../fake-data/blob/hipster.txt
3;uncomfortable hourly;../fake-data/blob/hipster.txt;2026-02-21;false;2026-02-22;2;lashes;../fake-data/blob/hipster.txt
4;ack powerful video;../fake-data/blob/hipster.txt;2026-02-22;true;2026-02-22;5;responsible;../fake-data/blob/hipster.txt
5;epic minus valiantly;../fake-data/blob/hipster.txt;2026-02-21;true;2026-02-22;4;utilized chainstay;../fake-data/blob/hipster.txt
6;whenever how patiently;../fake-data/blob/hipster.txt;2026-02-21;true;2026-02-22;5;without mmm;../fake-data/blob/hipster.txt
7;past;../fake-data/blob/hipster.txt;2026-02-22;false;2026-02-22;2;how;../fake-data/blob/hipster.txt
8;delightfully;../fake-data/blob/hipster.txt;2026-02-22;false;2026-02-22;1;seldom per;../fake-data/blob/hipster.txt
9;after huzzah;../fake-data/blob/hipster.txt;2026-02-22;true;2026-02-21;4;convection till accidentally;../fake-data/blob/hipster.txt
10;since rapidly;../fake-data/blob/hipster.txt;2026-02-22;true;2026-02-21;1;seriously pish;../fake-data/blob/hipster.txt
